ID, Action, Channel, TLDR_Start, Cmd_Start, Cmd_End, Data_Start, Data_End
9fe35980 , Read , sram0 , 0 , 3 , 5 , 9 , 11
80083400 , Read , sram0 , 3 , 6 , 8 , 12 , 14
80083e00 , Read , sram0 , 6 , 9 , 11 , 15 , 17
9b6f3c00 , Read , sram0 , 9 , 12 , 14 , 18 , 20
80083e40 , Read , sram0 , 11 , 14 , 16 , 20 , 22
9b6f0000 , Read , sram0 , 14 , 17 , 19 , 23 , 25
80083e80 , Read , sram0 , 17 , 20 , 22 , 26 , 28
800843c0 , Read , sram0 , 20 , 23 , 25 , 29 , 31
8142b680 , Read , sram0 , 22 , 25 , 27 , 31 , 33
80160d40 , Read , sram0 , 25 , 28 , 30 , 34 , 36
800df540 , Read , sram0 , 28 , 31 , 33 , 37 , 39
800df580 , Read , sram0 , 31 , 34 , 36 , 40 , 42
800b3dc0 , Read , sram0 , 33 , 36 , 38 , 42 , 44
800b3d40 , Read , sram0 , 36 , 39 , 41 , 45 , 47
81433880 , Read , sram0 , 39 , 42 , 44 , 48 , 50
8015fe80 , Read , sram0 , 42 , 45 , 47 , 51 , 53
9b5257c0 , Read , sram0 , 44 , 47 , 49 , 53 , 55
8015fec0 , Read , sram0 , 47 , 50 , 52 , 56 , 58
804905c0 , Read , sram0 , 50 , 53 , 55 , 59 , 61
9b52bb40 , Read , sram0 , 53 , 56 , 58 , 62 , 64
80490600 , Read , sram0 , 55 , 58 , 60 , 64 , 66
8015fac0 , Read , sram0 , 58 , 61 , 63 , 67 , 69
8015fb00 , Read , sram0 , 61 , 64 , 66 , 70 , 72
8015fb40 , Read , sram0 , 64 , 67 , 69 , 73 , 75
8015dec0 , Read , sram0 , 66 , 69 , 71 , 75 , 77
801524c0 , Read , sram0 , 69 , 72 , 74 , 78 , 80
80152500 , Read , sram0 , 72 , 75 , 77 , 81 , 83
80152540 , Read , sram0 , 75 , 78 , 80 , 84 , 86
