"Benchmarks","# of Traces","Time (sec)","Traces/sec","Sim Time (ns)","Sim Time ns/trace"
164gzip,1470752,332,4429,4532583
168wupwise,1499984,320,4687,4220083
171swim,1499540,324,4628,4951517
172mgrid,1499954,329,4559,4688579
173applu,1498410,325,4610,4246673
175vpr,1492902,326,4579,5372354
176gcc02,1498550,352,4257,4466303
177mesa,1499470,333,4502,4349197
178galgel,1499330,351,4271,4580745
179art02,1499192,335,4475,5304377
181mcf,1498580,353,4245,4778096
183equake,1496138,325,4603,4327306
186crafty,1499884,349,4297,4309995
187facerec,1496794,333,4494,5394381
188ammp,1499314,341,4396,5785696
189lucas,1499542,330,4544,4510394
191fma3d,969757,218,4448,2895388
197parser,1499324,346,4333,4621863
200sixtrack,306962,68,4514,885139
252eon,1499882,351,4273,4570944
254gap,1477864,322,4589,4051285
255vortex,1499966,321,4672,4139659
256bzip2,1492596,325,4592,5328328
300twolf,-1500000,1,-1500000,0
301apsi,1482770,309,4798,4284463
