"Benchmarks","# of Traces","Time (sec)","Traces/sec","Sim Time (ns)","Sim Time ns/trace"
164gzip,1470752,353,4166,3999879
168wupwise,1499984,322,4658,4057081
171swim,1499540,325,4613,4072447
172mgrid,1499954,319,4702,4022625
173applu,1498410,321,4667,3991078
175vpr,1492902,324,4607,4021350
176gcc02,1498550,352,4257,4086014
177mesa,1499470,344,4358,4018666
178galgel,1499330,347,4320,4071942
179art02,1499192,343,4370,4082570
181mcf,1498580,349,4293,4035136
183equake,1496138,341,4387,4030666
186crafty,1499884,343,4372,4095269
187facerec,1496794,338,4428,4017746
188ammp,1499314,346,4333,4118606
189lucas,1499542,325,4613,4034191
191fma3d,969757,226,4290,2641850
197parser,1499324,347,4320,4089307
200sixtrack,306962,66,4650,843293
252eon,1499882,350,4285,4109286
254gap,1477864,331,4464,4023273
255vortex,1499966,311,4823,4059433
256bzip2,1492596,316,4723,4014945
300twolf,-1500000,1,-1500000,0
301apsi,1482770,309,4798,4091792
